language;category;theme;groupId;groupTitle;subtopicId;subtopicTitle;title;synthesiaId;order
tr;helse;skeiv_verden;;;tercih_özgürlüğü ;Tercih Özgürlüğü ;Tercih Özgürlüğü ;e3d2a556-7600-4910-bf4b-84e70b9e0276;1
tr;helse;skeiv_verden;;;sosyal_normlar;Sosyal normlar;Sosyal normlar;38cbfe17-b1f3-4198-980a-0542aaeff5a1;2
tr;helse;skeiv_verden;;;toplumsal_çeşitlilik;Toplumsal Çeşitlilik ;Toplumsal Çeşitlilik ;c4d92620-8b45-44a6-9198-cd8236985079;3
tr;helse;skeiv_verden;;;ayrımcılık;Ayrımcılık;Ayrımcılık;d3b99ddf-7ef6-4fa3-9b4e-c6d9f10b96fa;4
tr;helse;vold_i_naere_relasjoner;;;giriş;Giriş;Giriş;a23a3f84-37d1-43de-a4f2-85d5f7124a53;1
tr;helse;vold_i_naere_relasjoner;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;68a9f8fb-9632-466a-bd2e-51cd6d91ac9b;2
tr;helse;vold_i_naere_relasjoner;;;şiddet_türleri;Şiddet türleri ;Şiddet türleri ;b750e8d7-bd23-4bd8-b3bb-206be2ab61d3;3
tr;helse;vold_i_naere_relasjoner;;;yakın_ilişkilerde_şiddet;Yakın ilişkilerde şiddet;Yakın ilişkilerde şiddet;f2a6fd77-88e0-4c1a-b06e-329aa051a3ae;4
tr;helse;vold_i_naere_relasjoner;;;önleme_yükümlülüğü;Önleme yükümlülüğü;Önleme yükümlülüğü;a3f72c7b-2bc4-48b0-b426-229d9692890a;5
tr;helse;vold_i_naere_relasjoner;;;Gizlilik_yükümlülüğü;Gizlilik yükümlülüğü;Gizlilik yükümlülüğü;b74b321e-2035-4dec-8057-eb05b3307c40;6
tr;helse;vold_i_naere_relasjoner;;;şiddetin_işaretleri;Şiddetin İşaretleri;Şiddetin İşaretleri;f8b524a2-d4b3-45bd-a44c-4e463f27c563;7
tr;helse;vold_i_naere_relasjoner;;;kimler_yardım_edebilir_1_kısım;Kimler yardım edebilir, 1. Kısım;Kimler yardım edebilir, 1. Kısım;07ba9a3a-0fa4-4bb9-ae96-49109f01f4d4;8
tr;helse;vold_i_naere_relasjoner;;;kimler_yardım_edebilir_2_kısım;Kimler yardım edebilir, 2. Kısım;Kimler yardım edebilir, 2. Kısım;410f720d-fcd3-4358-ab29-4cb72b7a1639;9
tr;helse;vold_i_naere_relasjoner;;;örnek_vaka;Örnek Vaka;Örnek Vaka;aab946d8-4bca-4176-86e2-c1689e33036f;10
tr;helse;mat_og_helse;;;giriş;Giriş;Giriş;ae56f553-27ee-46bb-9423-4fd0bda002da;1
tr;helse;mat_og_helse;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;591bdf67-c62e-456d-8ceb-9072778818cc;2
tr;helse;mat_og_helse;;;yemek_kültürü;Yemek kültürü;Yemek kültürü;50d1640e-1187-4a0e-81bc-213d44958782;3
tr;helse;mat_og_helse;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;d799ab91-5095-49d5-abfe-05ea77899ecb;4
tr;helse;mat_og_helse;;;yiyeceklerdeki_besinler_1_kısım;Yiyeceklerdeki Besinler, 1. Kısım;Yiyeceklerdeki Besinler, 1. Kısım;bc755540-590a-4fa5-bda7-e0f244de901e;5
tr;helse;mat_og_helse;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;63332c85-6137-42f3-b4df-fa2c922058a1;6
tr;helse;mat_og_helse;;;gıdalardaki_besin_öğeleri;Gıdalardaki Besin Öğeleri;Gıdalardaki Besin Öğeleri;cca83d30-3c2d-4599-85e7-a56ca32fb95a;7
tr;helse;mat_og_helse;;;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;f99bfd26-f13b-4857-8f8b-9202c62818ca;8
