language;category;theme;subtopicId;subtopicTitle;title;synthesiaId;order
en;karriere;meg_i_kontekst;introduction;Introduction;Introduction;64a6d21f-c09f-4bc7-b902-167f1035809c;1
en;karriere;meg_i_kontekst;new_words;New words;New words;2276959a-bdf9-408b-98cc-aa9d107b7fd7;2
en;karriere;meg_i_kontekst;personal_qualities;Personal qualities;Personal qualities;a63c8b2f-c58e-4999-8ec0-8d3f7bf6ae42;3
en;karriere;meg_i_kontekst;reflective_task;Reflective task;Reflective task;3bb720a1-7ae7-4ba4-aeb9-beabef40c2ec;4
en;karriere;meg_i_kontekst;interest;Interest;Interest;62537200-7074-468a-878d-ed5530be64f6;5
en;karriere;meg_i_kontekst;task;Task;Task;c54d3bfc-179d-433d-a664-ee1a8da190ed;6
en;karriere;meg_i_kontekst;values;Values;Values;videos/d5736285-0a16-40f6-a1fc-5c83a74bf180;7
en;karriere;meg_i_kontekst;reflective_task;Reflective task;Reflective task;9353ef84-0826-4f91-8d3b-1d2eb3190554;8
en;karriere;meg_i_kontekst;roles;Roles;Roles;f3f0be23-fdef-491e-b006-512f58a9a96e;9
en;karriere;meg_i_kontekst;case;Case;Case;88b76a5d-515d-4bc4-8263-c0b601a93bb6;10
en;karriere;meg_i_kontekst;summary;Summary;Summary;6073e806-de6d-4777-adf0-7010976a2309;11
en;karriere;muligheter_og_begrensninger;introduction;Introduction;Introduction;f41d2e8f-ece1-4802-9762-bf7158bd7ae7;1
en;karriere;muligheter_og_begrensninger;new_words;New words;New words;02cc016c-a522-49eb-ba5b-f15a4906e91b;2
en;karriere;muligheter_og_begrensninger;horizon_of_possibilities;Horizon of possibilities;Horizon of possibilities;856fe969-db25-4268-9d30-db527a0809a7;3
en;karriere;muligheter_og_begrensninger;limitations;Limitations;Limitations;8dc450a2-6930-4ca6-8c57-0edc72aef2d8;4
en;karriere;muligheter_og_begrensninger;case;Case;Case;ba00cbcd-1b04-4af4-87c0-e05c94454a63;5
en;karriere;muligheter_og_begrensninger;reflective_task;Reflective task;Reflective task;317a9a77-1bc9-4743-9ef4-8cb5ea593453;6
en;karriere;muligheter_og_begrensninger;thought_traps;Thought traps;Thought traps;7286dd72-3e99-40e7-adc3-6802b7f90094;7
en;karriere;muligheter_og_begrensninger;religion;Religion;Religion;1d2ad493-0a7f-44b5-9e57-2ba3770585ac;8
en;karriere;muligheter_og_begrensninger;summary;Summary;Summary;6596e997-2e2f-4ab7-9bcf-4bad620a8e35;9
en;karriere;valg_og_tilfeldigheter;introduction;Introduction;Introduction;68395652-617b-4ae5-87ea-5a6188f3a3fa;1
en;karriere;valg_og_tilfeldigheter;new_words;New words;New words;68395652-617b-4ae5-87ea-5a6188f3a3fa;2
en;karriere;valg_og_tilfeldigheter;own_choices;Own choices;Own choices;0826b826-7c4a-4284-8da0-96869045f46e;3
en;karriere;valg_og_tilfeldigheter;case;Case;Case;72fd4d21-c6d2-4d84-b45a-2ed8a234fe2e;4
en;karriere;valg_og_tilfeldigheter;good_coincidences;Good coincidences;Good coincidences;d3c561c7-fcdf-4394-bfa7-b14a23414483;5
en;karriere;valg_og_tilfeldigheter;case;Case;Case;0423b1ed-e426-4b65-ba64-cac8be56ce00;6
en;karriere;valg_og_tilfeldigheter;reflective_task;Reflective task;Reflective task;57183293-9111-4e6a-a6c4-3f20efe07088;7
en;karriere;valg_og_tilfeldigheter;summary;Summary;Summary;e0fc2e44-f6a8-4fde-b959-1382278621ba;8
en;karriere;tilpasning_og_motstand;introduction;Introduction;Introduction;7ef360a2-d0cf-44a0-a685-61daf8977e78;1
en;karriere;tilpasning_og_motstand;new_words;New words;New words;062711fb-b671-4ac6-bcba-651f8d343bc3;2
en;karriere;tilpasning_og_motstand;case;Case;Case;4265496b-79cf-4364-bc3a-36c5a8810af5;3
en;karriere;tilpasning_og_motstand;reflective_task;Reflective task;Reflective task;9e19e708-6f4b-41e2-a4b2-be0a29768077;4
en;karriere;tilpasning_og_motstand;summary;Summary;Summary;4bd4c88e-4cc1-43d0-a596-58dc5c6a82cb;5
en;karriere;endring_og_stabilitet;introduction;Introduction;Introduction;0def0d96-17c0-47b1-8084-c4a1ff6d95ae;1
en;karriere;endring_og_stabilitet;new_words;New words;New words;3b26cd74-0ba6-44c4-b697-49ded294d8fd;2
en;karriere;endring_og_stabilitet;change;Change;Change;c2984af4-71a6-4a90-9409-4935c4b95bed;3
en;karriere;endring_og_stabilitet;stability;Stability;Stability;75a0b13a-fdbb-478d-8b1b-07ada3c5d4c5;4
en;karriere;endring_og_stabilitet;case;Case;Case;e7d78413-379a-4040-8215-bd9a8b5a3ccc;5
en;karriere;endring_og_stabilitet;reflective_task;Reflective task;Reflective task;b710ca7e-e5fe-402d-b5af-01e85ad1522b;6
en;karriere;endring_og_stabilitet;summary;Summary;Summary;a7f55c1e-973d-4082-87a8-8160e36e9a55;7
