language;category;theme;subtopicId;subtopicTitle;title;synthesiaId;order
tr;karriere;meg_i_kontekst;giriş;Giriş;Giriş;ebcd20ac-6586-46ff-9921-47809ea38b2c;1
tr;karriere;meg_i_kontekst;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;54e6d165-0948-44eb-a50b-67bc19f93700;2
tr;karriere;meg_i_kontekst;nitelikler;Nitelikler;Nitelikler;86b6fabc-0d3e-48a3-8a75-1d87760a23d6;3
tr;karriere;meg_i_kontekst;düşünme_alıştırması;Düşünme alıştırması;Düşünme alıştırması;019fff5e-e41c-49d3-811e-a0827b18794d;4
tr;karriere;meg_i_kontekst;ilgi_alanlari;Ilgi alanları;Ilgi alanları;478b768a-7170-4420-9af8-140460d9c99a;5
tr;karriere;meg_i_kontekst;görev;Görev;Görev;654b7848-8ab4-4869-aa35-6ef693096d8f;6
tr;karriere;meg_i_kontekst;değerler;Değerler;Değerler;1591122f-d707-4aaf-a30d-29332c0c0f1d;7
tr;karriere;meg_i_kontekst;düşünme_alıştırması;Düşünme alıştırması;Düşünme alıştırması;338d309b-f3f6-48ef-9676-48dd6bca8a6f;8
tr;karriere;meg_i_kontekst;roller;Roller;Roller;4d6cf906-41aa-4241-97e6-429ba17a69e2;9
tr;karriere;meg_i_kontekst;örnek;Örnek;Örnek;65cdc2c7-c2be-45ff-80ad-1a2cfd4d5219;10
tr;karriere;meg_i_kontekst;özet;Özet;Özet;61b1abbe-6893-4f2f-938d-4102e284ca3d;11
tr;karriere;muligheter_og_begrensninger;giriş;Giriş;Giriş;4962cb12-61e7-452a-b9b0-b497403a7a82;1
tr;karriere;muligheter_og_begrensninger;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;92b557b5-5f4a-4441-8f8e-3a25274d06b3;2
tr;karriere;muligheter_og_begrensninger;gelecek_olanakları;Gelecek olanakları;Gelecek olanakları;b7a54a85-03fe-42d6-90d9-b60cb9a239eb;3
tr;karriere;muligheter_og_begrensninger;kısıtlamalar;Kısıtlamalar;Kısıtlamalar;e6ce1fe8-f6b6-4f1d-b9cf-f5d104acfd72;4
tr;karriere;muligheter_og_begrensninger;örnek;Örnek;Örnek;13521743-88f5-4ed4-b319-cda6dd475485;5
tr;karriere;muligheter_og_begrensninger;düşünme_alıştırması;Düşünme alıştırması;Düşünme alıştırması;ee1f92a6-1752-45c3-814f-e80ef5448ca0;6
tr;karriere;muligheter_og_begrensninger;düşünce_tuzakları;Düşünce tuzakları;Düşünce tuzakları;549aef64-b5eb-4067-880c-d712ac0e0329;7
tr;karriere;muligheter_og_begrensninger;dinin;Dinin;Dinin;d4eb2d14-dc6c-4aae-ac66-fefd4de02a98;8
tr;karriere;muligheter_og_begrensninger;özet;Özet;Özet;30593cfe-1346-4967-8c6a-49878e57cc00;9
tr;karriere;valg_og_tilfeldigheter;giriş;Giriş;Giriş;a4f265c1-c9b8-4b14-b037-a976f87d4693;1
tr;karriere;valg_og_tilfeldigheter;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;d153cf13-3ca4-4b7a-b5f1-c4f1d3ca0ea7;2
tr;karriere;valg_og_tilfeldigheter;özseçim;Özseçim;Özseçim;e4a8d6d1-f0f8-487a-819c-004ec16145a5;3
tr;karriere;valg_og_tilfeldigheter;örnek;Örnek;Örnek;81cf5e27-9068-43c1-b67d-256ea085aa5a;4
tr;karriere;valg_og_tilfeldigheter;iyi_tesadüfler;Iyi tesadüfler;Iyi tesadüfler;a0d18977-79de-4945-89e9-0da08354fe60;5
tr;karriere;valg_og_tilfeldigheter;örnek;Örnek;Örnek;a5eeced9-ec85-4d5e-aa9a-f2980bb5e0d9;6
tr;karriere;valg_og_tilfeldigheter;düşünme_alıştırması;Düşünme alıştırması;Düşünme alıştırması;a707e03f-495b-48c3-8925-8f508dd1cefc;7
tr;karriere;valg_og_tilfeldigheter;özet;Özet;Özet;8852084a-277c-4843-a74f-66c854f4b65a;8
tr;karriere;tilpasning_og_motstand;giriş;Giriş;Giriş;ac88a239-4abf-4e8d-aa36-db7edc90c245;1
tr;karriere;tilpasning_og_motstand;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;641f2563-d9b9-46bf-8a12-be78df2ed2ba;2
tr;karriere;tilpasning_og_motstand;örnek;Örnek;Örnek;910d8153-2268-4ca6-bc93-d2f6942fc9fa;3
tr;karriere;tilpasning_og_motstand;düşünme_alıştırması;Düşünme alıştırması;Düşünme alıştırması;1554b562-e68c-4a44-97c0-002b9006170d;4
tr;karriere;tilpasning_og_motstand;özet;Özet;Özet;8b6483ee-5ddc-4e8d-b6a2-d7364dee98a3;5
tr;karriere;endring_og_stabilitet;giriş;Giriş;Giriş;de751927-fbd5-47a3-8d6e-3d60cd255f8e;1
tr;karriere;endring_og_stabilitet;yeni_kelimeler;Yeni kelimeler;Yeni kelimeler;0c29253f-c8d9-44ba-ad9d-a0dc82a91f4b;2
tr;karriere;endring_og_stabilitet;değişim;Değişim;Değişim;ee851164-4c21-46f4-8113-9faa4795e695;3
tr;karriere;endring_og_stabilitet;istikrar;Istikrar;Istikrar;7c5c6845-7a85-4abb-a9de-72132b10eaef;4
tr;karriere;endring_og_stabilitet;örnek;Örnek;Örnek;6712f197-4e8e-4bce-9cfb-a915b8eba569;5
tr;karriere;endring_og_stabilitet;düşünme_alıştırması;Düşünme alıştırması;Düşünme alıştırması;f1fb88d6-649c-45be-97c7-a07a3fbcc951;6
tr;karriere;endring_og_stabilitet;özet;Özet;Özet;29a47282-269a-4d73-b96b-209cd4ec9ec0;7
