language;category;theme;groupId;groupTitle;subtopicId;subtopicTitle;title;synthesiaId;order;;;
no;helse;skeiv_verden;;;valgfrihet;Valgfrihet;Valgfrihet;46623012-eb25-4ed7-abd0-2600205c214c;1;;;
no;helse;skeiv_verden;;;sosiale_normer;Sosiale nromer;Sosiale normer;2d37ce0f-b99d-4739-a76f-4bc5f967a98c;2;;;
no;helse;skeiv_verden;;;mangfold;Manggfold;Mangfold;d4959ea3-d3dc-4e0b-906e-514489265c28;3;;;
no;helse;skeiv_verden;;;diskriminering ;Diskriminering;Diskriminering;d68a8ba6-4e56-44a8-8d43-3150d99fb5bc;4;;;
no;helse;vold_i_naere_relasjoner;;;introduksjon;Introduksjon;Introduksjon;2394d93d-5d79-432c-98e2-89be2b0c2d87;1;;;
no;helse;vold_i_naere_relasjoner;;;nye ord ;Nye ord ;Nye ord;56e07926-0083-4d4d-9d58-6f6e89f5a7ac;2;;;
no;helse;vold_i_naere_relasjoner;;;typer vold;Typer vold;Typer vold;ae3b3088-d203-4e09-bf32-a5869ddcc6c1;3;;;
no;helse;vold_i_naere_relasjoner;;;nære_relasjoner;Nære relasjoner;Nære relasjoner;3bf7dfba-8418-4b9f-b899-ebf1ef8efbc8;4;;;
no;helse;vold_i_naere_relasjoner;;;avvergingsplikt;Avvergingsplikt ;Avvergingsplikt;edc4a988-32af-440f-98e5-7a0a037f6fd6;5;;;
no;helse;vold_i_naere_relasjoner;;;taushetsplikt;Taushetsplikt ;Taushetsplikt;a34f6610-96fc-40ef-b4fa-06a1f01d9f07;6;;;
no;helse;vold_i_naere_relasjoner;;;tegn_paa_vold;Tegn på vold;Tegn på vold;904321ff-7f89-4887-bb6c-1d10d5e2bcb4;7;;;
no;helse;vold_i_naere_relasjoner;;;hvem_kan_hjelpe,1;Hvem kan hjelpe, 1;Hvem kan hjelpe, 1;aaf4b6e1-0349-48b7-9804-5fc09e837058;8;;;
no;helse;vold_i_naere_relasjoner;;;hvem_kan_hjelpe,2;Hvem kan hjelpe, 2;Hvem kan hjelpe, 2;a22ce05f-0da3-40a4-b46c-ed668a8b6864;9;;;
no;helse;vold_i_naere_relasjoner;;;case;Case;Case;f1d041a5-cd68-4649-814d-d3ad63da74b9;10;;;
no;helse;mat_og_helse;ernaring;Ernaring;introduksjon;Introduksjon;Introduksjon;7207bb2a-f5a2-44d1-9a0a-f1477d3c6793;1;;;
no;helse;mat_og_helse;ernaring;Ernaring;nye_ord;Nye ord ;Nye ord;31c177a3-5ba3-46bf-b418-3f28576f1ede;2;;;
no;helse;mat_og_helse;ernaring;Ernaring;matkultur;Matkultur;Matkultur;f1ae70bc-cffe-4e84-89c8-2a19e7c90f77;3;;;
no;helse;mat_og_helse;ernaring;Ernaring;nye_ord;Nye ord ;Nye ord;3dc9e276-40ee-4377-99f8-b4aee7f760d6;4;;;
no;helse;mat_og_helse;ernaring;Ernaring;naering_1;Næring i mat, del1;Næring i mat, del1;a8bf86d4-3da7-4ec3-b924-9a66e7e80755;5;;;
no;helse;mat_og_helse;ernaring;Ernaring;nye_ord;Nye ord ;Nye ord;0107885f-24e9-40f4-83ac-ae9dc4457f22;6;;;
no;helse;mat_og_helse;ernaring;Ernaring;naering_2;Næring i mat, del2;Næring i mat, del2;1d40bc62-3427-4a6c-b97f-8e22893203be;7;;;
no;helse;mat_og_helse;ernaring;Ernaring;nye_ord;Nye ord ;Nye ord;0a225238-0a87-4373-8330-403a91ab36c4;8;;;
no;helse;mat_og_helse;ernaring;Ernaring;frukt_og_gront;Frukt og grønt;Frukt og grønt;0b477f2b-c838-4502-b932-7604d162e743;9;;;
no;helse;mat_og_helse;ernaring;Ernaring;nye ord ;Nye ord ;Nye ord;d8c81336-66ee-4eb2-bfdf-a8366e4f7987;10;;;
no;helse;mat_og_helse;ernaring;Ernaring;unngaa_sukker;Unngå sukker;Unngaa sukker;848d82e0-0a7a-4ca7-bee8-c46b979af59d;11;;;
no;helse;mat_og_helse;ernaring;Ernaring;case;Case;Case;320a8d12-4e1a-4a15-b684-2caa28de730f;12;;;
no;helse;mat_og_helse;helse;Helse;nye ord ;Nye ord ;Nye ord;a4642b00-856a-4714-8bed-f5f446134237;13;;;
no;helse;mat_og_helse;helse;Helse;diabetes;Diabetes;Diabetes;4bb64468-a9df-4349-80b4-aa8b7e87501c;14;;;
no;helse;mat_og_helse;helse;Helse;nye ord ;Nye ord ;Nye ord;31f60967-d005-4047-89c9-bd9d792c878d;15;;;
no;helse;mat_og_helse;helse;Helse;munnhelse;Munnhelse;Munnhelse;2540a072-42fc-47f0-af9d-906be20cdd61;16;;;
no;helse;mat_og_helse;helse;Helse;nye_ord;Nye ord ;Nye ord;3dc6d8da-2781-4d8d-915c-43d8d507e3c8;17;;;
no;helse;mat_og_helse;matvarer;Matvarer;matfett;Matfett;Matfett;07252d76-6b85-480a-ad05-11771cf2cd43;18;;;
no;helse;mat_og_helse;matvarer;Matvarer;nye_ord;Nye ord ;Nye ord;e9db40de-503b-41b9-80bd-f0bf23dba1cc;19;;;
no;helse;mat_og_helse;matvarer;Matvarer;sjømat;Sjømat;Sjømat;7dccb187-48ac-4d9e-a7e6-422a66a08563;20;;;
